Priority,Candidate Title,Primary Keyword,Database,Snapshot Date,Search Volume,Keyword Difficulty,Intent,Cluster,Content Type,Reader Task,Evidence Plan,Cannibalization Boundary,Disposition
P1,Technical SEO Audit Template for Documentation Sites,technical seo audit template,us,2026-07-30,390,34,Informational,Documentation foundations,Downloadable template,Run and record a repeatable documentation-site technical SEO audit,Build a downloadable workbook from the existing Python audit checks and test it on at least three documentation templates,Support the published technical SEO checklist as an asset page; do not repeat its explanatory guide,Backlog
P1,"Support Documentation: Structure, Templates, and Examples",support documentation,us,2026-07-30,590,28,Informational,Documentation formats,Anchor,Design support documentation that resolves product failures and routes escalation,Compare real support centers and test a support-page template against common failure paths,"Own support-resolution documentation; exclude API reference, general technical-documentation definitions, and troubleshooting-template depth",Backlog
P1,Mobile App Technical Documentation Example: A Complete Release Package,mobile app technical documentation sample,us,2026-07-30,320,25,"Informational, commercial",Documentation formats,Practical teardown,See every document required to ship and support a mobile app release,"Create a reproducible sample package with setup, architecture, permissions, release, troubleshooting, and support files",Use one mobile-app release as the evidence object; the technical-documentation-examples anchor remains the format overview,Backlog
P1,Technical Requirements Document Template for Developer Products,technical requirements document,us,2026-07-30,210,14,Informational,Documentation formats,Downloadable template,Turn product constraints into testable technical requirements before implementation,Build and validate a requirements template against a small API or CLI project,Cover pre-implementation requirements and acceptance criteria; the general technical-documentation template owns published user documentation,Backlog
P1,llms.txt Examples: Real Documentation Files Audited,llms.txt examples,us,2026-07-30,480,42,Informational,AI-ready documentation,Evidence-led teardown,Compare real llms.txt files and identify useful patterns and unsupported claims,"Collect current public files, validate syntax and targets, and preserve dated audit receipts","Audit real examples only; row 61 owns the generator, row 64 the definition, row 65 the implementation guide, and row 62 the visibility experiment",Backlog
P2,"Technical Documentation Services: Scope, Process, and Deliverables",technical documentation services,us,2026-07-30,260,7,Informational,Documentation foundations,Commercial service page,Understand what a technical-documentation engagement includes and decide whether to hire,"Publish a transparent service scope with sample deliverables, boundaries, workflow, and qualification criteria","Commercial decision page only; informational articles retain definitions, templates, tools, and implementation guidance",Backlog
P2,"What Does a Technical Marketer Do? Skills, Workflows, and Examples",technical marketer,us,2026-07-30,390,5,Informational,Technical content,Practical explainer,Understand the technical-marketer role and evaluate the skills required for developer products,"Map real work artifacts across research, code, content, distribution, measurement, and product feedback",Own the practitioner role and skill map; rows 84 and 85 retain company strategy and channel planning,Backlog
P2,"IT Documentation: Asset, Access, Network, and Recovery Records",IT documentation,us,2026-08-17,480,13,"Informational, commercial",Documentation formats,Practical system guide,"Create an operational documentation set that lets an IT team locate assets, access boundaries, network dependencies, and recovery procedures","Build a fictitious but internally consistent small-office IT documentation pack, validate its cross-references, and compare its access and recovery boundaries against current vendor guidance","Own IT operations records and recovery handoffs. Do not repeat the technical-documentation template's developer-product page architecture, API documentation, or general documentation definitions",Backlog
P1,"API Documentation Best Practices: Reference, Guides, and Working Requests",api documentation,us-ahrefs,2026-08-17,1200,6,Informational,API documentation,Anchor,Build an API documentation system that lets a developer make a working authenticated request,"Build docs for one small sample API covering auth, endpoints, errors, pagination, webhooks; publish the repo",Owns the API documentation system and its component parts; does not repeat the technical-documentation definition or the general template,Killed - Published 2026-08-17 as api-documentation-best-practices-reference-guides-and-working-requests
P1,"What Is API Documentation? Reference, Guides, and Examples",what is api documentation,us-ahrefs,2026-08-17,600,39,Informational,API documentation,Practical explainer,Understand what an API documentation set contains before building one,Name and link four real public API docs and identify each component present,"Owns the definition and component map only; the best-practices anchor owns construction, the example page owns the worked endpoint",On hold - HIGH cannibalization risk: parent topic api documentation is now owned by the published best-practices anchor
