Order,Release Date,Title,Reader Outcome,Tier,Cluster,Status,Published Date,URL,Commit SHA,GSC Baseline Date,Last GSC Check,Skip Reason,Canonical URL
1,2026-08-01,SEO for Technical Documentation: The Complete Developer Docs Checklist,Build or repair a documentation site's organic discoverability.,Anchor,Documentation foundations,Published,2026-07-30,https://ninadpathak.com/articles/seo-for-technical-documentation/,288093db9324b1a401002c9091004b8701982113,2026-07-30,,,
2,2026-08-03,Technical Documentation Template: From Empty Repository to Published Guide,Start a documentation project from a usable structure.,Anchor,Documentation foundations,Published,2026-08-01,https://ninadpathak.com/articles/technical-documentation-template/,de4d721ec5d6a60b6a7c7098f76951c20d4a8a96,2026-08-01,,,
3,2026-08-05,"Technical Documentation Best Practices, Tested on Real Developer Docs",Improve documentation using practices grounded in actual failures.,Anchor,Documentation foundations,Published,2026-08-02,https://ninadpathak.com/articles/technical-documentation-best-practices-tested-real-developer-docs/,f1609db357cf3daa7c39118007b1616f785939fa,2026-08-02,,,
4,2026-08-07,"What Is Technical Documentation, and What Should It Include?",Understand the deliverables before starting.,Practical,Documentation foundations,Published,2026-08-05,https://ninadpathak.com/articles/what-is-technical-documentation-and-what-should-it-include/,a30506378970f03a7928dddc72dd10c70c41cd64,2026-08-05,,,
5,2026-08-09,Types of Technical Documentation: Choose the Right Format,"Match tutorials, how-to guides, reference, and explanation to a task.",Practical,Documentation foundations,Published,2026-08-05,https://ninadpathak.com/articles/types-of-technical-documentation/,939750bdf611911a2e34c599c4fe44bcf5b83ef3,2026-08-05,,,
6,2026-08-06,Internal vs. External Documentation: What Belongs Where,Separate team knowledge from customer-facing docs.,Practical,Documentation foundations,Done,,,,,,,
7,2026-08-13,How to Organize a Documentation Site,Turn an unstructured page list into usable navigation.,Practical,Documentation foundations,Skipped,,,,,,Existing canonical already covers the queued navigation and organization reader task.,https://ninadpathak.com/articles/how-to-organize-a-documentation-site/
8,2026-08-07,Documentation Information Architecture for Developer Products,"Design hierarchy, labels, and cross-links.",Practical,Documentation foundations,Planned,,,,,,,
9,2026-08-08,Documentation Style Guide Template for Developer Teams,"Standardize terminology, voice, code, and UI references.",Focused,Documentation foundations,Planned,,,,,,,
10,2026-08-19,Documentation Review Checklist Before You Publish,"Run an editorial, technical, and usability review.",Focused,Documentation foundations,Skipped,,,,,,Existing canonical exactly matches the queued title and review task.,https://ninadpathak.com/articles/documentation-review-checklist-before-you-publish/
